2026-04-11 20:14:32 | INFO     | carga |   ✓ XLSX exportado: data\calendar.xlsx (50,000 filas × 11 columnas)
2026-04-11 20:14:43 | INFO     | carga |   ✓ XLSX exportado: data\reviews.xlsx (50,000 filas × 12 columnas)
2026-04-11 20:14:43 | INFO     | carga | === Exportando XLSX combinado: data\airbnb_argentina_etl.xlsx ===
2026-04-11 20:14:54 | INFO     | carga |   Hoja 'listings': 27,348 registros
2026-04-11 20:14:57 | INFO     | carga |   Hoja 'calendar': 50,000 registros
2026-04-11 20:15:00 | INFO     | carga |   Hoja 'reviews': 50,000 registros
2026-04-11 20:15:34 | INFO     | carga | ✓ XLSX combinado exportado: data\airbnb_argentina_etl.xlsx
2026-04-11 20:15:34 | INFO     | carga | === Verificando carga en SQLite ===
2026-04-11 20:15:34 | INFO     | carga |   ✓ Tabla 'listings': 27,348 registros
2026-04-11 20:15:34 | INFO     | carga |   ✓ Tabla 'calendar': 50,000 registros
2026-04-11 20:15:34 | INFO     | carga |   ✓ Tabla 'reviews': 50,000 registros
2026-04-11 20:15:34 | INFO     | carga | ========================================
2026-04-11 20:15:34 | INFO     | carga |   CARGA COMPLETADA
2026-04-11 20:15:34 | INFO     | carga |   Total tablas cargadas: 3
2026-04-11 20:15:34 | INFO     | carga |   Total registros: 127,348
2026-04-11 20:15:34 | INFO     | carga | ========================================
2026-04-11 20:15:34 | INFO     | main | ╔═════════════════════════════╗
2026-04-11 20:15:34 | INFO     | main | ║ ETL COMPLETADO EXITOSAMENTE ║
2026-04-11 20:15:34 | INFO     | main | ╚═════════════════════════════╝
